begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ifTxPacketsIPv4_AF1,ifTxOctetsIPv4_EF1,ifTxDropOctetsIPv4_rate_AF2,ifTxOctetsIPv4_AF1,ifTxOctetsIPv4_AF4,ifTxPacketsIPv4_AF2,ifTxDropOctetsIPv4_rate_BE,ifTxDropOctetsIPv4_rate_AF3,ifTxDropOctetsIPv4_rate_EF3,ifTxOctetsIPv4_EF2,ifTxPacketsIPv4_AF4,ifTxDropPacketsIPv4_rate_EF2,ifTxPacketsIPv4_AF3,ifTxDropOctetsIPv4_rate_EF2,ifTxDropOctetsIPv4_rate_AF1,ifTxDropPacketsIPv4_rate_AF1,ifTxOctetsIPv4_EF3,ifTxDropPacketsIPv4_rate_BE,ifTxOctetsIPv4_AF2,ifTxPacketsIPv4_EF3,ifTxDropPacketsIPv4_rate_AF4,ifTxPacketsIPv4_EF2,ifTxDropPacketsIPv4_rate_AF2,ifTxOctetsIPv4_BE,ifTxDropPacketsIPv4_rate_EF3,ifTxDropPacketsIPv4_rate_AF3,ifTxPacketsIPv4_BE,ifTxOctetsIPv4_AF3,ifTxDropOctetsIPv4_rate_AF4,ifTxDropOctets_rate_AF2,ifTxOctets_AF1,ifTxDropOctets_delta_EF1,ifTxDropPackets_rate_EF3,ifTxDropOctets_delta_BE,ifTxPackets_EF3,ifTxDropOctets_delta_AF3,ifTxDropPackets_delta_AF1,ifTxDropPackets_rate_BE,ifTxDropOctets_delta_AF1,ifTxPackets_EF2,ifTxDropPackets_delta_BE,ifTxOctets_AF4,ifTxDropPackets_delta_EF2,ifTxOctets_EF3,ifTxOctets_BE,ifTxDropOctets_rate_BE,ifTxDropOctets_rate_AF3,ifTxDropOctets_rate_EF2,ifTxOctets_AF2,ifTxDropOctets_delta_EF3,ifTxPackets_EF1,ifTxDropPackets_delta_EF3,ifTxPackets_BE,ifTxOctets_EF1,ifTxDropOctets_delta_EF2,ifTxDropOctets_rate_AF4,ifTxDropPackets_delta_AF2,ifTxPackets_AF3,ifTxPackets_AF4,ifTxDropPackets_rate_AF2,ifTxDropPackets_rate_AF3,ifTxDropOctets_rate_EF1,ifTxPackets_AF2,ifTxPackets_AF1,ifTxOctets_EF2,ifTxDropPackets_rate_EF1,ifTxDropPackets_rate_AF1,ifTxDropPackets_rate_AF4,ifTxDropPackets_delta_EF1,ifTxDropOctets_delta_AF2,ifTxDropOctets_rate_AF1,ifTxDropOctets_delta_AF4,ifTxDropPackets_delta_AF4,ifTxDropPackets_delta_AF3,ifTxDropPackets_rate_EF2,ifTxOctets_AF3,ifTxDropOctets_rate_EF3,ipRmDropPcktsRtLimSrLteMplane,ipRmDropPcktsRtLimDefault,ipRmDropPcktsRtLimCplane,ipRmDropPcktsRtLimTwamp,ipRmDroppedPacketsRateLimiting,ipRmDroppedPacketsFiltering,ipRmDropPcktsRtLimSplane,ipRmDropPcktsRtLimLteUplane,sctpInPackets,sctpOutPackets,sctpInOctets,sctpOutOctets,tcpInOctets,tcpInPackets,tcpOutPackets,tcpOutOctets,ipTooBigPackets,ipReassemblyError,discIpReassemblyTimedoutPkts,ipDataTrafficVolumePackets,ipDataTrafficVolumeDiscards,ipDataTrafficVolume,ipDataTrafficVolumePckDisc,ipv4InOctets,ipv4InErrors,ipv4OutOctets,ipv4InPackets,ipv4OutPackets,ipv4InReassembledPackets,ifInErrors,ifOutMCastPackets,ifInMCastOctets,ifOutPackets,ifOutFragPackets,ifInDiscardedMCastOctets,ifInDiscardedMCastPackets,ifInOctets,ifOutMCastOctets,ifInMCastPackets,ifOutDroppedPackets,ifOutDroppedOctets,ifOutFragments,ifOutOctets
2022-03-18,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-17,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-15,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,95.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-12,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-14,"MRBTS-5089,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15767.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-16,"MRBTS-5091,TNLSVC-1,TNL-1,IPNO-1,QOS-1,FSTSCH-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-QOS-FSTSCH,15768.0,dynamic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
