begintime,ne_name,vendor,ne_type,sk_object,aggregation,integrity,ifRxOctetsIPv4_AF1,ifRxPacketsIPv4_EF2,ifRxOctetsIPv4_EF1,ifRxPacketsIPv4_AF2,ifRxOctetsIPv4_BE,ifRxOctetsIPv4_EF2,ifRxPacketsIPv4_AF4,ifRxOctetsIPv4_AF2,ifRxPacketsIPv4_BE,ifRxOctetsIPv4_AF3,ifRxPacketsIPv4_EF1,ifRxOctetsIPv4_EF3,ifRxPacketsIPv4_EF3,ifRxPacketsIPv4_AF3,ifRxOctetsIPv4_AF4,ifRxPacketsIPv4_AF1,ifInPacketsIPv6,ifInDiscardedMCastOctetsIPv6,ifOutDroppedOctetsIPv6,ifInErrorsIPv6,ifOutPacketsIPv6,ifInMCastPacketsIPv6,ifOutMCastOctetsIPv6,ifInOctetsIPv6,ifOutOctetsIPv6,ifOutMCastPacketsIPv6,ifOutDroppedPacketsIPv6,ifInDiscardedMCastPacketsIPv6,ifInMCastPacketsIPv4,ifInDiscardedMCastOctetsIPv4,ifOutMCastOctetsIPv4,ifInOctetsIPv4,ifOutDroppedPacketsIPv4,ifInPacketsIPv4,ifInMCastOctetsIPv4,ifOutMCastPacketsIPv4,ifOutOctetsIPv4,ifOutDroppedOctetsIPv4,ifInDiscardedMCastPacketsIPv4,ifOutPacketsIPv4,ifInErrorsIPv4,ifTxDropOctetsIPv6_rate_EF3,ifTxOctetsIPv6_EF2,ifTxOctetsIPv6_BE,ifTxOctetsIPv6_EF1,ifTxOctetsIPv6_AF1,ifTxPacketsIPv6_EF2,ifTxOctetsIPv6_AF3,ifTxDropPacketsIPv6_rate_BE,ifTxDropPacketsIPv6_rate_AF4,ifTxDropOctetsIPv6_rate_AF1,ifTxPacketsIPv6_BE,ifTxDropOctetsIPv6_rate_AF2,ifTxDropPacketsIPv6_rate_EF1,ifTxOctetsIPv6_AF4,ifTxPacketsIPv6_AF3,ifTxDropPacketsIPv6_rate_EF2,ifTxDropOctetsIPv6_rate_AF3,ifTxOctetsIPv6_EF3,ifTxDropPacketsIPv6_rate_AF1,ifTxPacketsIPv6_AF4,ifTxDropOctetsIPv6_rate_BE,ifTxPacketsIPv6_AF1,ifTxDropOctetsIPv6_rate_EF1,ifTxDropOctetsIPv6_rate_AF4,ifTxDropPacketsIPv6_rate_AF3,ifTxDropPacketsIPv6_rate_AF2,ifTxPacketsIPv6_EF1,ifTxDropOctetsIPv6_rate_EF2,ifTxPacketsIPv6_EF3,ifTxOctetsIPv6_AF2,ifTxDropPacketsIPv6_rate_EF3,ifTxPacketsIPv6_AF2,ifTxPacketsIPv4_AF1,ifTxOctetsIPv4_EF1,ifTxDropOctetsIPv4_rate_AF2,ifTxOctetsIPv4_AF1,ifTxOctetsIPv4_AF4,ifTxPacketsIPv4_AF2,ifTxDropOctetsIPv4_rate_BE,ifTxDropOctetsIPv4_rate_AF3,ifTxDropOctetsIPv4_rate_EF3,ifTxOctetsIPv4_EF2,ifTxPacketsIPv4_AF4,ifTxDropPacketsIPv4_rate_EF2,ifTxPacketsIPv4_AF3,ifTxDropOctetsIPv4_rate_EF2,ifTxDropOctetsIPv4_rate_AF1,ifTxDropPacketsIPv4_rate_AF1,ifTxOctetsIPv4_EF3,ifTxDropPacketsIPv4_rate_BE,ifTxOctetsIPv4_AF2,ifTxPacketsIPv4_EF3,ifTxDropPacketsIPv4_rate_AF4,ifTxPacketsIPv4_EF2,ifTxDropPacketsIPv4_rate_AF2,ifTxOctetsIPv4_BE,ifTxDropPacketsIPv4_rate_EF3,ifTxDropPacketsIPv4_rate_AF3,ifTxPacketsIPv4_BE,ifTxOctetsIPv4_AF3,ifTxDropOctetsIPv4_rate_AF4,ifTxDropOctetsIPv4_rate_EF1,ifTxDropOctets_rate_AF2,ifTxOctets_AF1,ifTxDropOctets_delta_EF1,ifTxDropPackets_rate_EF3,ifTxDropOctets_delta_BE,ifTxPackets_EF3,ifTxDropOctets_delta_AF3,ifTxDropPackets_delta_AF1,ifTxDropPackets_rate_BE,ifTxDropOctets_delta_AF1,ifTxPackets_EF2,ifTxDropPackets_delta_BE,ifTxOctets_AF4,ifTxDropOctets_rate_AF3,ifTxOctets_BE,ifTxDropOctets_rate_BE,ifTxOctets_EF3,ifTxDropPackets_delta_EF2,ifTxDropOctets_rate_EF2,ifTxOctets_AF2,ifTxDropOctets_delta_EF3,ifTxPackets_EF1,ifTxDropPackets_delta_EF3,ifTxPackets_BE,ifTxOctets_EF1,ifTxDropOctets_delta_EF2,ifTxDropOctets_rate_AF4,ifTxDropPackets_delta_AF2,ifTxPackets_AF3,ifTxPackets_AF4,ifTxDropPackets_rate_AF2,ifTxDropPackets_rate_AF3,ifTxDropOctets_rate_EF1,ifTxPackets_AF2,ifTxPackets_AF1,ifTxOctets_EF2,ifTxDropPackets_rate_EF1,ifTxDropPackets_rate_AF1,ifTxDropPackets_rate_AF4,ifTxDropPackets_delta_EF1,ifTxDropOctets_delta_AF2,ifTxDropOctets_rate_AF1,ifTxDropOctets_delta_AF4,ifTxDropPackets_delta_AF4,ifTxDropPackets_delta_AF3,ifTxDropPackets_rate_EF2,ifTxOctets_AF3,ifTxDropOctets_rate_EF3,ipRmDropPcktsRtLimSrLteMplane,ipRmDropPcktsRtLimDefault,ipRmDropPcktsRtLimCplane,ipRmDropPcktsRtLimTwamp,ipRmDroppedPacketsRateLimiting,ipRmDroppedPacketsFiltering,ipRmDropPcktsRtLimSplane,ipRmDropPcktsRtLimLteUplane,sctpInPackets,sctpOutPackets,sctpInOctets,sctpOutOctets,tcpInOctets,tcpInPackets,tcpOutPackets,tcpOutOctets,ipTooBigPackets,ipReassemblyError,discIpReassemblyTimedoutPkts,ipDataTrafficVolumePackets,ipDataTrafficVolumeDiscards,ipDataTrafficVolume,ipDataTrafficVolumePckDisc,ipv4InOctets,ipv4InErrors,ipv4OutOctets,ipv4InPackets,ipv4OutPackets,ipv4InReassembledPackets,ifInErrors,ifOutMCastPackets,ifInMCastOctets,ifOutPackets,ifOutFragPackets,ifInDiscardedMCastOctets,ifInDiscardedMCastPackets,ifInOctets,ifOutMCastOctets,ifInMCastPackets,ifOutDroppedPackets,ifOutDroppedOctets,ifOutFragments,ifOutOctets
2022-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,95.83333333333333,0.0,61587.0,0.0,55423.0,173240643655.0,4790846.0,0.0,40174159.0,148080223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,152.0,65807.0,168.0,49271.0,169429599366.0,5119752.0,0.0,33346454.0,143667727.0,2067397.0,3.0,0.0,0.0,1877.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,95.83333333333333,1259.0,63931.0,0.0,56605.0,157297516293.0,4973950.0,0.0,43117116.0,133733381.0,39289.0,0.0,0.0,0.0,321.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,184.0,66770.0,0.0,64945.0,180739299275.0,5194952.0,0.0,54845186.0,155304928.0,76258.0,0.0,0.0,0.0,625.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,0.0,66741.0,112.0,63713.0,196513289078.0,5192678.0,0.0,49020735.0,166613498.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,0.0,65411.0,0.0,46966.0,153708929234.0,5089820.0,0.0,32464552.0,130709376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,7062.0,65785.0,56.0,54573.0,165154157273.0,5118590.0,0.0,42169968.0,139527918.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,4476166.0,66320.0,112.0,45128.0,155972751511.0,5160148.0,0.0,33438736.0,132297934.0,5676.0,2.0,0.0,0.0,45.0,0.0,6360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10,"MRBTS-5062,TNLSVC-1,TNL-1,IPNO-1,IPIF-3",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15947.0,dynamic,100.0,5464.0,65817.0,0.0,46551.0,160935692864.0,5121104.0,0.0,33824689.0,134570296.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,"MRBTS-5079,TNLSVC-1,TNL-1,IPNO-1,IPIF-1",Nokia,SRAN : PLMN-MRBTS-TNLSVC-TNL-IPNO-IPIF,15915.0,dynamic,86.80555555555556,0.0,59650.0,0.0,0.0,90749255.0,4637896.0,0.0,0.0,1253534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
