begintime,sk_object,duration,integrity,M8013C80,M8013C81,M8013C5,M8013C6,M8013C10,M8013C11,M8013C7,M8013C9,M8013C0,M8013C1,M8013C2,M8013C3,M8013C4,M8013C12,M8013C13,M8013C15,M8013C16,M8013C17,M8013C18,M8013C19,M8013C21,M8013C24,M8013C25,M8013C26,M8013C27,M8013C28,M8013C29,M8013C30,M8013C31,M8013C32,M8013C33,M8013C34,M8013C35,M8013C36,M8013C37,M8013C38,M8013C39,M8013C40,M8013C41,M8013C42,M8013C43,M8013C44,M8013C45,M8013C46,M8013C47,M8013C48,M8013C49,M8013C50,M8013C51,M8013C52,M8013C53,M8013C54,M8013C55,M8013C56,M8013C57,M8013C58,M8013C60,M8013C69,M8013C61,M8013C62,M8013C63,M8013C64,M8013C65,M8013C66,M8013C67,M8013C68,M8013C70,M8013C71,M8013C72,M8013C73,M8013C74,M8013C75,M8013C76,M8013C77,M8013C78,M8013C79,M8013C82,M8013C83,M8013C84,M8013C85,M8013C86,M8013C87,M8013C88,M8013C89,M8013C90,M8013C91,M8013C92,M8013C93,M8013C94,M8013C95,M8013C96,M8013C97,M8013C99,M8013C100,M8013C101,M8013C102,M8013C103,M8013C104,M8013C105,M8013C106,M8013C107,M8013C108,M8013C109,M8013C110,M8013C111,M8013C112,M8013C113,M8013C114,M8013C115,M8013C116,M8013C117,M8013C118,M8013C119,M8013C121,M8013C122,M8013C123,M8013C124
2022-03-18 04:00:00,16893.0,60.0,100.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,2.0,24.0,39.0,0.0,97444.0,922750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,24.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,63.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 06:00:00,16903.0,60.0,100.0,0.0,0.0,374.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,0.0,0.0,8.0,30.0,336.0,0.0,633642.0,3087858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,336.0,30.0,0.0,0.0,0.0,0.0,0.0,374.0,374.0,366.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,337.0,0.0,0.0,0.0,0.0,8.0,30.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 02:00:00,16939.0,60.0,100.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,216.0,2.0,0.0,68.0,85.0,134.0,0.0,5334725.0,1585624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,134.0,85.0,0.0,0.0,0.0,0.0,0.0,287.0,287.0,219.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,216.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,68.0,85.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 03:00:00,16885.0,60.0,100.0,0.0,0.0,187.0,3.0,1.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,75.0,40.0,75.0,0.0,283087.0,2002822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,75.0,40.0,0.0,0.0,0.0,0.0,0.0,187.0,187.0,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,75.0,40.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 00:00:00,16903.0,60.0,100.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,4.0,77.0,116.0,0.0,1358761.0,3866089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,116.0,77.0,0.0,0.0,0.0,0.0,0.0,197.0,197.0,193.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0,77.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 05:00:00,16966.0,60.0,100.0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,20.0,26.0,282.0,0.0,464879.0,4763639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,282.0,26.0,0.0,0.0,0.0,0.0,0.0,328.0,328.0,311.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,20.0,26.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 01:00:00,16954.0,60.0,100.0,0.0,0.0,1505.0,0.0,1.0,0.0,0.0,295.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1.0,0.0,277.0,71.0,1157.0,0.0,5810094.0,18143043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,1157.0,71.0,0.0,0.0,0.0,0.0,0.0,1505.0,1505.0,1230.0,0.0,1230.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,277.0,71.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 03:00:00,16956.0,60.0,100.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,118.0,88.0,74.0,0.0,1087284.0,4452015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,74.0,88.0,0.0,0.0,0.0,0.0,0.0,280.0,280.0,162.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,118.0,88.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 04:00:00,16899.0,60.0,100.0,0.0,0.0,200.0,1.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,0.0,0.0,146.0,33.0,22.0,0.0,208165.0,1422112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,22.0,33.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,56.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,146.0,33.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 03:00:00,16957.0,60.0,100.0,0.0,0.0,14.0,4.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,5714087.0,786363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-16 05:00:00,16914.0,60.0,100.0,0.0,0.0,44.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,40.0,4.0,0.0,0.0,140137.0,1427208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 06:00:00,16903.0,60.0,100.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,6.0,95.0,364.0,0.0,221716.0,1563505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,364.0,95.0,0.0,0.0,0.0,0.0,0.0,465.0,465.0,461.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,353.0,0.0,0.0,0.0,0.0,6.0,95.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-16 03:00:00,16935.0,60.0,100.0,0.0,0.0,687.0,0.0,2.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,3.0,255.0,0.0,0.0,430.0,59.0,198.0,0.0,2739429.0,4583482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,198.0,59.0,0.0,0.0,0.0,0.0,0.0,687.0,687.0,257.0,0.0,256.0,0.0,1.0,0.0,0.0,0.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,430.0,59.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-19 02:00:00,16957.0,60.0,100.0,0.0,0.0,151.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,17.0,47.0,87.0,0.0,206947.0,1430063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,87.0,47.0,0.0,0.0,0.0,0.0,0.0,151.0,151.0,136.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,17.0,47.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 18:00:00,16893.0,60.0,100.0,0.0,0.0,441.0,0.0,3.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,0.0,0.0,108.0,124.0,209.0,0.0,1955273.0,7994693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,209.0,124.0,0.0,0.0,0.0,0.0,0.0,441.0,441.0,343.0,11.0,343.0,11.0,0.0,12.0,12.0,12.0,12.0,337.0,313.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,108.0,124.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 23:00:00,16923.0,60.0,100.0,0.0,0.0,136.0,7.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,0.0,0.0,92.0,15.0,36.0,0.0,432476.0,2916978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,36.0,15.0,0.0,0.0,0.0,0.0,0.0,136.0,136.0,59.0,0.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,0.0,0.0,92.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-03-19 03:00:00,16894.0,60.0,100.0,0.0,0.0,165.0,10.0,1.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,104.0,0.0,0.0,60.0,29.0,86.0,0.0,146204.0,1629577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,86.0,29.0,0.0,0.0,0.0,0.0,0.0,165.0,165.0,115.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,60.0,29.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 04:00:00,16956.0,60.0,100.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,66.0,36.0,43.0,0.0,810280.0,3512893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,43.0,36.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,66.0,36.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15 01:00:00,16920.0,60.0,100.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,0.0,0.0,27.0,32.0,15.0,0.0,1143700.0,2786074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,32.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,48.0,0.0,48.0,0.0,0.0,1.0,1.0,1.0,1.0,41.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,27.0,32.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 03:00:00,16966.0,60.0,100.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,0.0,0.0,11.0,11.0,292.0,0.0,265045.0,3369286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,292.0,11.0,0.0,0.0,0.0,0.0,0.0,314.0,314.0,303.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0,302.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,11.0,11.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-18 04:00:00,16920.0,60.0,100.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,19.0,4.0,24.0,0.0,565533.0,594048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,19.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-17 03:00:00,16920.0,60.0,100.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,56.0,8.0,3.0,0.0,1648689.0,507161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,67.0,67.0,17.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.0,58.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 08:00:00,16903.0,60.0,100.0,0.0,0.0,382.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0,0.0,18.0,94.0,271.0,0.0,332263.0,1931407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,271.0,94.0,0.0,0.0,0.0,0.0,0.0,382.0,382.0,372.0,2.0,372.0,2.0,0.0,0.0,0.0,0.0,0.0,368.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,225.0,0.0,0.0,0.0,0.0,18.0,94.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 01:00:00,16909.0,60.0,100.0,0.0,0.0,1351.0,0.0,0.0,0.0,0.0,505.0,0.0,0.0,0.0,0.0,0.0,2.0,846.0,0.0,0.0,504.0,331.0,516.0,0.0,3058304.0,16105476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,516.0,331.0,0.0,0.0,0.0,0.0,0.0,1351.0,1351.0,850.0,1.0,850.0,1.0,0.0,1.0,1.0,1.0,1.0,846.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,504.0,331.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 03:00:00,16910.0,60.0,100.0,0.0,0.0,613.0,0.0,1.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,1.0,450.0,3.0,0.0,150.0,166.0,297.0,0.0,6262056.0,21495535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,297.0,166.0,0.0,0.0,0.0,0.0,0.0,613.0,613.0,466.0,0.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,445.0,0.0,0.0,0.0,0.0,0.0,3.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,150.0,166.0,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-19 03:00:00,16912.0,60.0,100.0,0.0,0.0,1393.0,9.0,11.0,0.0,0.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,856.0,2.0,0.0,540.0,179.0,683.0,0.0,1222202.0,10583212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.0,682.0,179.0,0.0,0.0,0.0,0.0,0.0,1393.0,1393.0,871.0,0.0,871.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,844.0,2.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.0,540.0,179.0,683.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
