begintime,ne_name,ne_type,vendor,integrity,4G traffic,id
2022-02-02,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,2205138738248.0,1
2022-02-03,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2384564141688.0,2
2022-02-04,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2304993228560.0,3
2022-02-05,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1901263709496.0,4
2022-02-06,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1893014362992.0,5
2022-02-08,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2007324542536.0,6
2022-02-10,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2165208471400.0,7
2022-02-11,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2310128904904.0,8
2022-02-12,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2185289887528.0,9
2022-02-13,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2008352564048.0,10
2022-02-17,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,2134254537792.0,11
2022-02-18,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2341213675520.0,12
2022-02-19,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2107062537208.0,13
2022-02-20,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2090782204544.0,14
2022-03-01,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2389951019840.0,15
2022-03-02,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2194537818232.0,16
2022-03-03,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2322962242400.0,17
2022-03-06,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,91.67,1931473410888.0,18
2022-03-07,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2200058607800.0,19
2022-03-09,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,4.17,146605754648.0,20
2022-03-10,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,95.83,2218447086504.0,21
2022-03-11,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2104129643496.0,22
2022-03-12,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,79.17,1877371604960.0,23
2022-03-13,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,87.5,1603547232248.0,24
2022-03-14,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,1762195780448.0,25
2022-03-15,selected NEs,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,2128679395704.0,26
