begintime,sk_object,duration,integrity,M40001C0
2022-03-12 14:00:00,15331.0,60.0,100.0,12.0
2022-03-11 22:00:00,15276.0,60.0,100.0,11.0
2022-03-12 17:00:00,15248.0,60.0,100.0,11.0
2022-03-11 11:00:00,15327.0,60.0,100.0,12.0
2022-03-12 08:00:00,15330.0,60.0,100.0,11.0
2022-03-11 15:00:00,15252.0,60.0,100.0,11.0
2022-03-12 18:00:00,15160.0,60.0,100.0,11.0
2022-03-11 23:00:00,15196.0,32.0,53.333333333333336,12.0
2022-03-12 04:00:00,15209.0,60.0,100.0,11.0
2022-03-11 02:00:00,15310.0,60.0,100.0,11.0
2022-03-12 08:00:00,15306.0,60.0,100.0,11.0
2022-03-11 22:00:00,15221.0,60.0,100.0,11.0
2022-03-11 15:00:00,15216.0,60.0,100.0,12.0
2022-03-12 03:00:00,15243.0,60.0,100.0,12.0
2022-03-11 15:00:00,15169.0,60.0,100.0,12.0
2022-03-12 02:00:00,15172.0,60.0,100.0,11.0
2022-03-11 10:00:00,15289.0,60.0,100.0,11.0
2022-03-12 16:00:00,15197.0,60.0,100.0,12.0
2022-03-11 07:00:00,15302.0,60.0,100.0,12.0
2022-03-12 11:00:00,15341.0,60.0,100.0,11.0
2022-03-12 01:00:00,15254.0,60.0,100.0,12.0
2022-03-11 15:00:00,15296.0,60.0,100.0,11.0
2022-03-11 22:00:00,15303.0,60.0,100.0,11.0
2022-03-11 23:00:00,15330.0,60.0,100.0,11.0
2022-03-11 19:00:00,15273.0,60.0,100.0,12.0
2022-03-12 16:00:00,15251.0,60.0,100.0,11.0
2022-03-11 15:00:00,15313.0,60.0,100.0,11.0
2022-03-11 07:00:00,15283.0,60.0,100.0,12.0
2022-03-11 20:00:00,15313.0,60.0,100.0,11.0
2022-03-11 11:00:00,15268.0,60.0,100.0,11.0
2022-03-11 10:00:00,15213.0,60.0,100.0,12.0
2022-03-11 21:00:00,15185.0,60.0,100.0,11.0
2022-03-11 08:00:00,15179.0,60.0,100.0,12.0
2022-03-11 05:00:00,15300.0,60.0,100.0,11.0
2022-03-12 12:00:00,15320.0,60.0,100.0,11.0
2022-03-11 06:00:00,15250.0,60.0,100.0,11.0
2022-03-12 00:00:00,15263.0,60.0,100.0,12.0
2022-03-11 14:00:00,15287.0,60.0,100.0,12.0
2022-03-11 03:00:00,15189.0,60.0,100.0,10.0
2022-03-11 21:00:00,15258.0,60.0,100.0,12.0
2022-03-11 19:00:00,15230.0,60.0,100.0,11.0
2022-03-12 10:00:00,15233.0,60.0,100.0,12.0
2022-03-12 04:00:00,15173.0,60.0,100.0,11.0
2022-03-12 15:00:00,15325.0,60.0,100.0,12.0
2022-03-11 17:00:00,15303.0,60.0,100.0,11.0
2022-03-12 06:00:00,15302.0,60.0,100.0,12.0
2022-03-12 01:00:00,15286.0,60.0,100.0,12.0
2022-03-11 04:00:00,15186.0,60.0,100.0,11.0
2022-03-11 23:00:00,15231.0,60.0,100.0,11.0
2022-03-12 12:00:00,15162.0,60.0,100.0,12.0
2022-03-11 08:00:00,15203.0,60.0,100.0,11.0
2022-03-11 03:00:00,15163.0,60.0,100.0,12.0
2022-03-12 11:00:00,15206.0,60.0,100.0,11.0
2022-03-11 10:00:00,15310.0,60.0,100.0,11.0
2022-03-12 17:00:00,15222.0,60.0,100.0,11.0
2022-03-11 01:00:00,15301.0,60.0,100.0,11.0
2022-03-11 12:00:00,15186.0,60.0,100.0,11.0
2022-03-12 17:00:00,15158.0,60.0,100.0,12.0
2022-03-12 15:00:00,15225.0,60.0,100.0,12.0
2022-03-11 17:00:00,15256.0,60.0,100.0,11.0
2022-03-11 06:00:00,15168.0,60.0,100.0,11.0
2022-03-11 01:00:00,15297.0,60.0,100.0,11.0
2022-03-12 11:00:00,15187.0,60.0,100.0,11.0
2022-03-11 05:00:00,15330.0,60.0,100.0,11.0
2022-03-11 14:00:00,15177.0,60.0,100.0,12.0
2022-03-11 07:00:00,15321.0,60.0,100.0,11.0
2022-03-11 04:00:00,15216.0,60.0,100.0,12.0
2022-03-11 05:00:00,15305.0,60.0,100.0,12.0
2022-03-11 15:00:00,15306.0,60.0,100.0,11.0
2022-03-12 06:00:00,15232.0,60.0,100.0,11.0
2022-03-12 18:00:00,15290.0,60.0,100.0,10.0
2022-03-11 13:00:00,15251.0,60.0,100.0,11.0
2022-03-11 11:00:00,15315.0,60.0,100.0,11.0
2022-03-12 19:00:00,15177.0,60.0,100.0,12.0
2022-03-11 21:00:00,15202.0,60.0,100.0,12.0
2022-03-12 11:00:00,15295.0,60.0,100.0,12.0
2022-03-12 08:00:00,15210.0,60.0,100.0,11.0
2022-03-12 04:00:00,15211.0,60.0,100.0,12.0
2022-03-11 00:00:00,15184.0,60.0,100.0,11.0
2022-03-12 01:00:00,15250.0,60.0,100.0,11.0
2022-03-12 03:00:00,15184.0,60.0,100.0,11.0
2022-03-12 19:00:00,15322.0,60.0,100.0,12.0
2022-03-11 13:00:00,15311.0,60.0,100.0,11.0
2022-03-12 18:00:00,15276.0,60.0,100.0,11.0
2022-03-12 08:00:00,15303.0,60.0,100.0,11.0
2022-03-12 16:00:00,15209.0,60.0,100.0,11.0
2022-03-11 03:00:00,15266.0,60.0,100.0,11.0
2022-03-12 14:00:00,15235.0,60.0,100.0,11.0
2022-03-12 19:00:00,15296.0,60.0,100.0,11.0
2022-03-12 06:00:00,15222.0,60.0,100.0,11.0
2022-03-11 12:00:00,15320.0,60.0,100.0,11.0
2022-03-12 18:00:00,15319.0,60.0,100.0,12.0
2022-03-11 18:00:00,15298.0,60.0,100.0,11.0
2022-03-11 16:00:00,15233.0,60.0,100.0,12.0
2022-03-11 23:00:00,15284.0,60.0,100.0,11.0
2022-03-12 16:00:00,15314.0,60.0,100.0,11.0
2022-03-12 01:00:00,15291.0,60.0,100.0,12.0
2022-03-11 21:00:00,15293.0,60.0,100.0,11.0
2022-03-11 02:00:00,15252.0,60.0,100.0,11.0
2022-03-12 01:00:00,15287.0,60.0,100.0,12.0
2022-03-12 06:00:00,15292.0,60.0,100.0,11.0
2022-03-12 04:00:00,15245.0,60.0,100.0,12.0
2022-03-12 16:00:00,15157.0,60.0,100.0,13.0
2022-03-11 20:00:00,15172.0,60.0,100.0,11.0
2022-03-12 14:00:00,15307.0,60.0,100.0,12.0
2022-03-14 04:00:00,15279.0,60.0,100.0,12.0
2022-03-11 21:00:00,15314.0,60.0,100.0,10.0
2022-03-11 04:00:00,15241.0,60.0,100.0,11.0
2022-03-11 14:00:00,15327.0,60.0,100.0,12.0
2022-03-11 05:00:00,15293.0,60.0,100.0,11.0
2022-03-11 11:00:00,15309.0,60.0,100.0,11.0
2022-03-12 03:00:00,15216.0,60.0,100.0,12.0
2022-03-12 08:00:00,15338.0,60.0,100.0,11.0
2022-03-11 20:00:00,15330.0,60.0,100.0,11.0
2022-03-12 15:00:00,15296.0,60.0,100.0,11.0
2022-03-11 06:00:00,15246.0,60.0,100.0,11.0
2022-03-11 07:00:00,15180.0,60.0,100.0,12.0
2022-03-11 21:00:00,15216.0,60.0,100.0,12.0
2022-03-12 05:00:00,15249.0,22.0,36.666666666666664,11.0
2022-03-12 15:00:00,15235.0,60.0,100.0,11.0
2022-03-12 09:00:00,15317.0,60.0,100.0,11.0
2022-03-11 09:00:00,15160.0,60.0,100.0,10.0
2022-03-12 12:00:00,15214.0,60.0,100.0,11.0
2022-03-11 19:00:00,15180.0,60.0,100.0,12.0
2022-03-14 05:00:00,15288.0,60.0,100.0,11.0
2022-03-11 00:00:00,15165.0,60.0,100.0,11.0
2022-03-11 06:00:00,15223.0,60.0,100.0,10.0
2022-03-11 12:00:00,15324.0,60.0,100.0,12.0
2022-03-11 07:00:00,15254.0,60.0,100.0,12.0
2022-03-12 09:00:00,15168.0,60.0,100.0,11.0
2022-03-11 15:00:00,15335.0,60.0,100.0,11.0
2022-03-11 18:00:00,15296.0,60.0,100.0,11.0
2022-03-11 02:00:00,15221.0,60.0,100.0,11.0
2022-03-11 16:00:00,15266.0,60.0,100.0,11.0
2022-03-11 02:00:00,15257.0,60.0,100.0,11.0
2022-03-11 04:00:00,15316.0,60.0,100.0,11.0
2022-03-11 23:00:00,15163.0,60.0,100.0,12.0
2022-03-12 08:00:00,15285.0,60.0,100.0,11.0
2022-03-12 08:00:00,15305.0,60.0,100.0,12.0
2022-03-11 12:00:00,15158.0,60.0,100.0,12.0
2022-03-12 01:00:00,15189.0,60.0,100.0,10.0
2022-03-12 06:00:00,15265.0,60.0,100.0,11.0
2022-03-14 05:00:00,15281.0,60.0,100.0,12.0
2022-03-11 06:00:00,15215.0,60.0,100.0,11.0
2022-03-12 01:00:00,15209.0,60.0,100.0,11.0
2022-03-12 18:00:00,15214.0,60.0,100.0,11.0
2022-03-11 00:00:00,15261.0,60.0,100.0,11.0
2022-03-12 09:00:00,15260.0,60.0,100.0,11.0
2022-03-11 21:00:00,15232.0,60.0,100.0,11.0
2022-03-12 18:00:00,15317.0,60.0,100.0,11.0
2022-03-12 04:00:00,15217.0,60.0,100.0,11.0
2022-03-11 04:00:00,15300.0,60.0,100.0,11.0
2022-03-12 09:00:00,15263.0,60.0,100.0,12.0
2022-03-11 20:00:00,15169.0,60.0,100.0,12.0
2022-03-12 05:00:00,15300.0,60.0,100.0,11.0
2022-03-12 00:00:00,15309.0,60.0,100.0,11.0
2022-03-12 17:00:00,15186.0,60.0,100.0,11.0
2022-03-11 03:00:00,15315.0,60.0,100.0,11.0
2022-03-12 01:00:00,15277.0,60.0,100.0,11.0
2022-03-11 07:00:00,15185.0,60.0,100.0,11.0
2022-03-12 07:00:00,15176.0,60.0,100.0,12.0
2022-03-12 07:00:00,15233.0,60.0,100.0,12.0
2022-03-11 00:00:00,15215.0,60.0,100.0,11.0
2022-03-11 23:00:00,15340.0,60.0,100.0,11.0
2022-03-11 13:00:00,15252.0,60.0,100.0,11.0
2022-03-11 17:00:00,15259.0,60.0,100.0,11.0
2022-03-12 13:00:00,15192.0,60.0,100.0,11.0
2022-03-12 08:00:00,15206.0,60.0,100.0,11.0
2022-03-12 11:00:00,15308.0,60.0,100.0,11.0
2022-03-14 00:00:00,15304.0,60.0,100.0,11.0
2022-03-12 08:00:00,15249.0,60.0,100.0,11.0
2022-03-12 19:00:00,15307.0,60.0,100.0,12.0
2022-03-11 18:00:00,15208.0,60.0,100.0,12.0
2022-03-12 17:00:00,15239.0,60.0,100.0,12.0
2022-03-12 20:00:00,15322.0,60.0,100.0,12.0
2022-03-11 13:00:00,15229.0,60.0,100.0,11.0
2022-03-11 22:00:00,15286.0,60.0,100.0,12.0
2022-03-11 13:00:00,15203.0,60.0,100.0,11.0
2022-03-11 17:00:00,15293.0,60.0,100.0,11.0
2022-03-11 22:00:00,15219.0,60.0,100.0,11.0
2022-03-12 09:00:00,15241.0,60.0,100.0,10.0
2022-03-11 14:00:00,15294.0,60.0,100.0,11.0
2022-03-11 22:00:00,15282.0,60.0,100.0,11.0
2022-03-11 13:00:00,15169.0,60.0,100.0,12.0
2022-03-12 12:00:00,15272.0,60.0,100.0,11.0
2022-03-12 12:00:00,15182.0,60.0,100.0,11.0
2022-03-12 17:00:00,15169.0,60.0,100.0,12.0
2022-03-11 23:00:00,15297.0,60.0,100.0,11.0
2022-03-11 08:00:00,15324.0,60.0,100.0,12.0
2022-03-11 01:00:00,15282.0,60.0,100.0,11.0
2022-03-12 19:00:00,15183.0,60.0,100.0,12.0
2022-03-12 20:00:00,15270.0,60.0,100.0,12.0
2022-03-12 10:00:00,15193.0,60.0,100.0,11.0
2022-03-11 04:00:00,15246.0,60.0,100.0,11.0
2022-03-11 02:00:00,15206.0,60.0,100.0,11.0
2022-03-11 07:00:00,15300.0,60.0,100.0,11.0
2022-03-12 18:00:00,15231.0,60.0,100.0,11.0
2022-03-12 08:00:00,15242.0,60.0,100.0,11.0
2022-03-11 07:00:00,15279.0,60.0,100.0,12.0
2022-03-12 03:00:00,15330.0,60.0,100.0,11.0
2022-03-12 18:00:00,15311.0,60.0,100.0,11.0
2022-03-11 19:00:00,15191.0,60.0,100.0,11.0
2022-03-12 04:00:00,15215.0,60.0,100.0,11.0
2022-03-12 02:00:00,15240.0,60.0,100.0,11.0
2022-03-12 11:00:00,15224.0,60.0,100.0,12.0
2022-03-11 21:00:00,15252.0,60.0,100.0,11.0
2022-03-12 11:00:00,15327.0,60.0,100.0,12.0
2022-03-11 12:00:00,15165.0,60.0,100.0,11.0
2022-03-11 19:00:00,15316.0,60.0,100.0,11.0
2022-03-11 05:00:00,15232.0,60.0,100.0,11.0
2022-03-12 19:00:00,15308.0,60.0,100.0,11.0
2022-03-11 04:00:00,15175.0,60.0,100.0,11.0
2022-03-12 12:00:00,15313.0,60.0,100.0,11.0
2022-03-14 05:00:00,15301.0,60.0,100.0,11.0
2022-03-11 10:00:00,15173.0,60.0,100.0,11.0
2022-03-12 12:00:00,15241.0,60.0,100.0,10.0
2022-03-12 02:00:00,15263.0,60.0,100.0,12.0
2022-03-12 05:00:00,15177.0,60.0,100.0,12.0
2022-03-12 05:00:00,15329.0,60.0,100.0,11.0
2022-03-11 13:00:00,15178.0,60.0,100.0,12.0
2022-03-11 23:00:00,15255.0,60.0,100.0,11.0
2022-03-11 14:00:00,15191.0,60.0,100.0,11.0
2022-03-12 17:00:00,15268.0,60.0,100.0,11.0
2022-03-11 08:00:00,15240.0,60.0,100.0,11.0
2022-03-11 00:00:00,15275.0,60.0,100.0,11.0
2022-03-11 23:00:00,15253.0,60.0,100.0,12.0
2022-03-12 10:00:00,15305.0,60.0,100.0,12.0
2022-03-11 13:00:00,15174.0,60.0,100.0,12.0
2022-03-12 19:00:00,15293.0,60.0,100.0,11.0
2022-03-11 17:00:00,15176.0,60.0,100.0,12.0
2022-03-12 09:00:00,15234.0,60.0,100.0,11.0
2022-03-11 13:00:00,15280.0,60.0,100.0,11.0
2022-03-12 09:00:00,15277.0,60.0,100.0,11.0
2022-03-11 22:00:00,15217.0,60.0,100.0,10.0
2022-03-12 04:00:00,15325.0,60.0,100.0,12.0
2022-03-11 00:00:00,15300.0,60.0,100.0,11.0
2022-03-12 05:00:00,15298.0,60.0,100.0,11.0
2022-03-12 09:00:00,15288.0,60.0,100.0,11.0
2022-03-11 23:00:00,15248.0,60.0,100.0,11.0
2022-03-11 09:00:00,15174.0,60.0,100.0,12.0
2022-03-11 16:00:00,15243.0,60.0,100.0,12.0
2022-03-12 12:00:00,15341.0,60.0,100.0,11.0
2022-03-12 04:00:00,15259.0,60.0,100.0,12.0
2022-03-11 10:00:00,15287.0,60.0,100.0,12.0
2022-03-12 20:00:00,15275.0,60.0,100.0,11.0
2022-03-12 16:00:00,15178.0,60.0,100.0,12.0
2022-03-12 16:00:00,15228.0,60.0,100.0,11.0
2022-03-12 13:00:00,15208.0,60.0,100.0,12.0
2022-03-11 21:00:00,15285.0,60.0,100.0,11.0
2022-03-11 19:00:00,15211.0,60.0,100.0,12.0
2022-03-11 14:00:00,15290.0,60.0,100.0,11.0
2022-03-11 03:00:00,15221.0,60.0,100.0,11.0
2022-03-12 04:00:00,15304.0,60.0,100.0,11.0
2022-03-11 04:00:00,15244.0,60.0,100.0,12.0
2022-03-12 05:00:00,15207.0,60.0,100.0,11.0
2022-03-11 01:00:00,15305.0,60.0,100.0,12.0
2022-03-11 10:00:00,15271.0,60.0,100.0,11.0
2022-03-12 16:00:00,15299.0,60.0,100.0,11.0
2022-03-11 10:00:00,15202.0,60.0,100.0,12.0
2022-03-11 14:00:00,15307.0,60.0,100.0,12.0
2022-03-12 00:00:00,15305.0,60.0,100.0,12.0
2022-03-12 09:00:00,15249.0,60.0,100.0,11.0
2022-03-12 02:00:00,15195.0,60.0,100.0,12.0
2022-03-12 12:00:00,15303.0,60.0,100.0,11.0
2022-03-11 08:00:00,15292.0,60.0,100.0,11.0
2022-03-11 09:00:00,15235.0,60.0,100.0,11.0
2022-03-11 14:00:00,15303.0,60.0,100.0,11.0
2022-03-11 03:00:00,15295.0,60.0,100.0,12.0
2022-03-12 08:00:00,15199.0,60.0,100.0,12.0
2022-03-12 18:00:00,15182.0,60.0,100.0,11.0
2022-03-11 22:00:00,15258.0,60.0,100.0,12.0
2022-03-14 05:00:00,15241.0,60.0,100.0,11.0
2022-03-11 12:00:00,15199.0,60.0,100.0,12.0
2022-03-12 12:00:00,15188.0,60.0,100.0,11.0
2022-03-14 05:00:00,15222.0,60.0,100.0,11.0
2022-03-11 08:00:00,15287.0,60.0,100.0,12.0
2022-03-11 17:00:00,15192.0,60.0,100.0,11.0
2022-03-12 00:00:00,15236.0,60.0,100.0,12.0
2022-03-11 10:00:00,15186.0,60.0,100.0,11.0
2022-03-14 05:00:00,15236.0,60.0,100.0,12.0
2022-03-11 01:00:00,15212.0,60.0,100.0,11.0
2022-03-11 20:00:00,15326.0,60.0,100.0,11.0
2022-03-11 20:00:00,15306.0,60.0,100.0,11.0
2022-03-11 01:00:00,15291.0,60.0,100.0,12.0
2022-03-14 05:00:00,15206.0,60.0,100.0,11.0
2022-03-11 09:00:00,15213.0,60.0,100.0,12.0
2022-03-11 23:00:00,15225.0,32.0,53.333333333333336,12.0
2022-03-12 19:00:00,15229.0,60.0,100.0,11.0
2022-03-11 13:00:00,15170.0,60.0,100.0,11.0
2022-03-12 13:00:00,15254.0,60.0,100.0,12.0
2022-03-11 15:00:00,15302.0,60.0,100.0,12.0
2022-03-11 19:00:00,15168.0,60.0,100.0,11.0
2022-03-12 15:00:00,15219.0,60.0,100.0,12.0
2022-03-11 21:00:00,15248.0,60.0,100.0,11.0
2022-03-11 06:00:00,15247.0,60.0,100.0,11.0
2022-03-11 01:00:00,15208.0,60.0,100.0,12.0
2022-03-12 03:00:00,15248.0,60.0,100.0,11.0
2022-03-11 09:00:00,15214.0,60.0,100.0,11.0
2022-03-11 00:00:00,15161.0,60.0,100.0,11.0
2022-03-12 07:00:00,15180.0,60.0,100.0,12.0
2022-03-11 09:00:00,15203.0,60.0,100.0,11.0
2022-03-12 08:00:00,15272.0,60.0,100.0,11.0
2022-03-11 22:00:00,15228.0,46.0,76.66666666666667,11.0
2022-03-12 17:00:00,15328.0,60.0,100.0,11.0
2022-03-12 14:00:00,15332.0,60.0,100.0,12.0
2022-03-11 03:00:00,15181.0,60.0,100.0,12.0
2022-03-12 01:00:00,15160.0,60.0,100.0,10.0
2022-03-11 21:00:00,15187.0,60.0,100.0,11.0
2022-03-11 19:00:00,15178.0,60.0,100.0,12.0
2022-03-11 04:00:00,15191.0,60.0,100.0,11.0
2022-03-12 13:00:00,15294.0,60.0,100.0,11.0
2022-03-12 14:00:00,15183.0,60.0,100.0,12.0
2022-03-11 03:00:00,15280.0,60.0,100.0,11.0
2022-03-12 07:00:00,15301.0,60.0,100.0,11.0
2022-03-12 18:00:00,15158.0,60.0,100.0,12.0
2022-03-12 17:00:00,15201.0,60.0,100.0,10.0
2022-03-11 21:00:00,15257.0,60.0,100.0,11.0
2022-03-11 00:00:00,15196.0,60.0,100.0,12.0
2022-03-12 00:00:00,15337.0,60.0,100.0,12.0
2022-03-11 03:00:00,15247.0,60.0,100.0,11.0
2022-03-11 17:00:00,15224.0,60.0,100.0,12.0
2022-03-11 21:00:00,15255.0,60.0,100.0,11.0
2022-03-11 23:00:00,15201.0,60.0,100.0,10.0
2022-03-12 01:00:00,15296.0,60.0,100.0,11.0
2022-03-14 05:00:00,15165.0,60.0,100.0,11.0
2022-03-12 20:00:00,15335.0,60.0,100.0,11.0
2022-03-11 22:00:00,15171.0,60.0,100.0,11.0
2022-03-11 12:00:00,15339.0,60.0,100.0,11.0
2022-03-11 11:00:00,15270.0,60.0,100.0,12.0
2022-03-11 00:00:00,15339.0,60.0,100.0,11.0
2022-03-11 07:00:00,15160.0,60.0,100.0,11.0
2022-03-12 12:00:00,15260.0,60.0,100.0,11.0
2022-03-11 20:00:00,15208.0,60.0,100.0,12.0
2022-03-11 12:00:00,15206.0,60.0,100.0,11.0
2022-03-12 00:00:00,15270.0,60.0,100.0,12.0
2022-03-12 06:00:00,15272.0,60.0,100.0,11.0
2022-03-11 23:00:00,15198.0,60.0,100.0,11.0
2022-03-11 12:00:00,15211.0,60.0,100.0,12.0
2022-03-12 00:00:00,15223.0,60.0,100.0,10.0
2022-03-12 19:00:00,15179.0,60.0,100.0,12.0
2022-03-12 06:00:00,15176.0,60.0,100.0,12.0
2022-03-12 01:00:00,15274.0,60.0,100.0,12.0
2022-03-11 09:00:00,15185.0,60.0,100.0,11.0
2022-03-12 10:00:00,15169.0,60.0,100.0,12.0
2022-03-12 10:00:00,15310.0,60.0,100.0,11.0
2022-03-11 16:00:00,15204.0,60.0,100.0,10.0
2022-03-12 17:00:00,15315.0,60.0,100.0,11.0
2022-03-12 12:00:00,15332.0,60.0,100.0,12.0
2022-03-11 20:00:00,15312.0,60.0,100.0,12.0
2022-03-14 00:00:00,15167.0,60.0,100.0,12.0
2022-03-12 04:00:00,15314.0,60.0,100.0,11.0
2022-03-11 21:00:00,15159.0,60.0,100.0,11.0
2022-03-11 22:00:00,15250.0,60.0,100.0,11.0
2022-03-11 02:00:00,15185.0,60.0,100.0,11.0
2022-03-11 23:00:00,15213.0,60.0,100.0,12.0
2022-03-11 23:00:00,15212.0,60.0,100.0,11.0
2022-03-12 05:00:00,15323.0,60.0,100.0,11.0
2022-03-11 07:00:00,15217.0,60.0,100.0,11.0
2022-03-11 16:00:00,15262.0,60.0,100.0,10.0
2022-03-12 11:00:00,15216.0,60.0,100.0,12.0
2022-03-11 07:00:00,15198.0,60.0,100.0,11.0
2022-03-11 09:00:00,15302.0,60.0,100.0,12.0
2022-03-11 10:00:00,15214.0,60.0,100.0,11.0
2022-03-12 17:00:00,15329.0,60.0,100.0,10.0
2022-03-12 07:00:00,15327.0,60.0,100.0,12.0
2022-03-12 07:00:00,15167.0,60.0,100.0,12.0
2022-03-12 14:00:00,15200.0,60.0,100.0,13.0
2022-03-12 14:00:00,15224.0,60.0,100.0,12.0
2022-03-11 22:00:00,15293.0,60.0,100.0,11.0
2022-03-11 09:00:00,15301.0,60.0,100.0,11.0
2022-03-11 04:00:00,15237.0,60.0,100.0,13.0
2022-03-12 06:00:00,15301.0,60.0,100.0,11.0
2022-03-11 16:00:00,15177.0,60.0,100.0,12.0
2022-03-11 19:00:00,15204.0,60.0,100.0,10.0
2022-03-11 18:00:00,15293.0,60.0,100.0,11.0
2022-03-11 18:00:00,15300.0,60.0,100.0,11.0
2022-03-12 19:00:00,15292.0,60.0,100.0,11.0
2022-03-11 00:00:00,15276.0,60.0,100.0,11.0
2022-03-11 02:00:00,15238.0,60.0,100.0,11.0
2022-03-11 05:00:00,15163.0,60.0,100.0,12.0
2022-03-12 11:00:00,15262.0,60.0,100.0,10.0
2022-03-12 09:00:00,15319.0,60.0,100.0,12.0
2022-03-11 05:00:00,15249.0,60.0,100.0,11.0
2022-03-12 02:00:00,15278.0,60.0,100.0,11.0
2022-03-12 08:00:00,15232.0,60.0,100.0,11.0
2022-03-11 05:00:00,15308.0,60.0,100.0,11.0
2022-03-14 00:00:00,15249.0,60.0,100.0,11.0
2022-03-12 03:00:00,15311.0,60.0,100.0,11.0
2022-03-11 08:00:00,15300.0,60.0,100.0,11.0
2022-03-12 12:00:00,15337.0,60.0,100.0,12.0
2022-03-11 18:00:00,15161.0,60.0,100.0,11.0
2022-03-12 19:00:00,15305.0,60.0,100.0,12.0
2022-03-11 15:00:00,15192.0,60.0,100.0,11.0
2022-03-11 10:00:00,15314.0,60.0,100.0,11.0
2022-03-11 16:00:00,15225.0,60.0,100.0,12.0
2022-03-11 18:00:00,15209.0,60.0,100.0,11.0
2022-03-12 18:00:00,15199.0,60.0,100.0,12.0
2022-03-12 08:00:00,15213.0,60.0,100.0,12.0
2022-03-11 13:00:00,15295.0,60.0,100.0,12.0
2022-03-11 09:00:00,15297.0,60.0,100.0,11.0
2022-03-11 07:00:00,15194.0,60.0,100.0,11.0
2022-03-11 08:00:00,15188.0,60.0,100.0,11.0
2022-03-12 04:00:00,15341.0,60.0,100.0,11.0
2022-03-12 13:00:00,15296.0,60.0,100.0,11.0
2022-03-11 18:00:00,15191.0,60.0,100.0,11.0
2022-03-12 11:00:00,15158.0,60.0,100.0,12.0
2022-03-11 00:00:00,15264.0,60.0,100.0,12.0
2022-03-11 20:00:00,15232.0,60.0,100.0,11.0
2022-03-12 01:00:00,15202.0,60.0,100.0,12.0
2022-03-12 08:00:00,15320.0,60.0,100.0,11.0
2022-03-11 14:00:00,15277.0,60.0,100.0,11.0
2022-03-11 19:00:00,15195.0,60.0,100.0,12.0
2022-03-11 23:00:00,15179.0,60.0,100.0,12.0
2022-03-11 14:00:00,15180.0,60.0,100.0,12.0
2022-03-12 00:00:00,15172.0,60.0,100.0,11.0
2022-03-12 16:00:00,15327.0,60.0,100.0,12.0
2022-03-12 02:00:00,15268.0,60.0,100.0,11.0
2022-03-12 14:00:00,15319.0,60.0,100.0,12.0
2022-03-11 05:00:00,15161.0,60.0,100.0,11.0
2022-03-11 06:00:00,15279.0,60.0,100.0,12.0
2022-03-11 15:00:00,15209.0,60.0,100.0,11.0
2022-03-11 21:00:00,15182.0,60.0,100.0,11.0
2022-03-11 09:00:00,15321.0,60.0,100.0,11.0
2022-03-11 19:00:00,15329.0,60.0,100.0,10.0
2022-03-12 14:00:00,15315.0,60.0,100.0,11.0
2022-03-11 10:00:00,15296.0,60.0,100.0,11.0
2022-03-11 21:00:00,15256.0,60.0,100.0,11.0
2022-03-11 09:00:00,15339.0,60.0,100.0,11.0
2022-03-11 16:00:00,15212.0,60.0,100.0,11.0
2022-03-12 02:00:00,15338.0,60.0,100.0,11.0
2022-03-12 07:00:00,15325.0,60.0,100.0,12.0
2022-03-12 09:00:00,15322.0,60.0,100.0,12.0
2022-03-12 16:00:00,15324.0,60.0,100.0,12.0
2022-03-12 04:00:00,15169.0,60.0,100.0,12.0
2022-03-12 12:00:00,15178.0,60.0,100.0,12.0
2022-03-11 09:00:00,15309.0,60.0,100.0,11.0
2022-03-11 11:00:00,15215.0,60.0,100.0,11.0
2022-03-11 21:00:00,15183.0,60.0,100.0,12.0
2022-03-12 18:00:00,15163.0,60.0,100.0,12.0
2022-03-12 14:00:00,15270.0,60.0,100.0,12.0
2022-03-11 12:00:00,15285.0,60.0,100.0,11.0
2022-03-12 02:00:00,15175.0,60.0,100.0,11.0
2022-03-14 05:00:00,15316.0,60.0,100.0,11.0
2022-03-12 15:00:00,15298.0,60.0,100.0,11.0
2022-03-11 16:00:00,15288.0,60.0,100.0,11.0
2022-03-11 17:00:00,15196.0,18.0,30.0,12.0
2022-03-11 14:00:00,15187.0,60.0,100.0,11.0
2022-03-12 09:00:00,15313.0,60.0,100.0,11.0
2022-03-11 02:00:00,15247.0,60.0,100.0,11.0
2022-03-12 11:00:00,15288.0,60.0,100.0,11.0
2022-03-11 06:00:00,15310.0,60.0,100.0,12.0
2022-03-12 00:00:00,15335.0,60.0,100.0,11.0
2022-03-11 06:00:00,15185.0,60.0,100.0,11.0
2022-03-11 16:00:00,15295.0,60.0,100.0,12.0
2022-03-11 22:00:00,15320.0,60.0,100.0,11.0
2022-03-11 10:00:00,15228.0,60.0,100.0,11.0
2022-03-11 05:00:00,15231.0,60.0,100.0,11.0
2022-03-11 00:00:00,15178.0,60.0,100.0,12.0
2022-03-11 21:00:00,15272.0,60.0,100.0,11.0
2022-03-12 20:00:00,15260.0,60.0,100.0,11.0
2022-03-12 19:00:00,15320.0,60.0,100.0,11.0
2022-03-12 00:00:00,15301.0,60.0,100.0,11.0
2022-03-12 03:00:00,15182.0,60.0,100.0,11.0
2022-03-11 07:00:00,15313.0,60.0,100.0,11.0
2022-03-11 09:00:00,15175.0,60.0,100.0,11.0
